n 321270, m 800172
Time 0.0853 Cost 1853714
Time 0.0836 Cost 1855340
Time 0.0837 Cost 1820229
Time 0.0836 Cost 1809802
Time 0.0837 Cost 1820063
Time 0.0837 Cost 1807740
Time 0.0834 Cost 1770739
Time 0.0838 Cost 1816729
Time 0.0837 Cost 1831131
Time 0.0835 Cost 1821809
Time 0.0836 Cost 1807830
Time 0.0835 Cost 1790016
Time 0.0834 Cost 1797868
Time 0.0833 Cost 1781752
Time 0.0834 Cost 1781287
Time 0.0834 Cost 1772772
Time 0.0835 Cost 1780214
Time 0.0835 Cost 1781883
Time 0.0834 Cost 1811681
Time 0.0834 Cost 1773316
Time 0.0835 Cost 1806717
Time 0.0836 Cost 1798301
Time 0.0835 Cost 1805627
Time 0.0835 Cost 1779528
Time 0.0834 Cost 1801280
Time 0.0836 Cost 1759300
Time 0.0834 Cost 1742153
Time 0.0835 Cost 1729743
Time 0.0835 Cost 1708591
Time 0.0836 Cost 1721280
Time 0.0818 Cost 1600569
Time 0.0816 Cost 1600402
Time 0.0817 Cost 1601910
Time 0.0837 Cost 1775230
Time 0.0838 Cost 1764516
Time 0.0841 Cost 1791543
Time 0.0839 Cost 1785736
Time 0.0841 Cost 1802176
Time 0.0840 Cost 1806202
Time 0.0840 Cost 1779919
Time 0.0840 Cost 1795698
Time 0.0841 Cost 1762112
Time 0.0840 Cost 1780128
Time 0.0840 Cost 1763630
Time 0.0839 Cost 1766785
Time 0.0838 Cost 1771043
Time 0.0839 Cost 1762667
Time 0.0836 Cost 1793286
Time 0.0838 Cost 1785179
Time 0.0838 Cost 1764015
Tot 4.1799
Cost 1764015 - Time 5.269
