n 321270, m 800172
Time 0.1253 Cost 1853714
Time 0.1208 Cost 1855340
Time 0.1206 Cost 1820229
Time 0.1202 Cost 1809802
Time 0.1201 Cost 1820063
Time 0.1200 Cost 1807740
Time 0.1202 Cost 1770739
Time 0.1200 Cost 1816729
Time 0.1204 Cost 1831131
Time 0.1239 Cost 1821809
Time 0.1198 Cost 1807830
Time 0.1202 Cost 1790016
Time 0.1201 Cost 1797868
Time 0.1197 Cost 1781752
Time 0.1196 Cost 1781287
Time 0.1260 Cost 1772772
Time 0.1269 Cost 1780214
Time 0.1262 Cost 1781883
Time 0.1211 Cost 1811681
Time 0.1201 Cost 1773316
Time 0.1222 Cost 1806717
Time 0.1222 Cost 1798301
Time 0.1209 Cost 1805627
Time 0.1202 Cost 1779528
Time 0.1207 Cost 1801280
Time 0.1204 Cost 1759300
Time 0.1196 Cost 1742153
Time 0.1201 Cost 1729743
Time 0.1220 Cost 1708591
Time 0.1197 Cost 1721280
Time 0.1191 Cost 1600569
Time 0.1191 Cost 1600402
Time 0.1191 Cost 1601910
Time 0.1199 Cost 1775230
Time 0.1195 Cost 1764516
Time 0.1194 Cost 1791543
Time 0.1198 Cost 1785736
Time 0.1198 Cost 1802176
Time 0.1197 Cost 1806202
Time 0.1194 Cost 1779919
Time 0.1200 Cost 1795698
Time 0.1197 Cost 1762112
Time 0.1201 Cost 1780128
Time 0.1196 Cost 1763630
Time 0.1198 Cost 1766785
Time 0.1200 Cost 1771043
Time 0.1197 Cost 1762667
Time 0.1202 Cost 1793286
Time 0.1198 Cost 1785179
Time 0.1196 Cost 1764015
Tot 6.0332
Cost 1764015 - Time 6.936
