n 1890815, m 4657742
Time 0.4404 Cost 4194074
Time 0.4229 Cost 4217753
Time 0.4634 Cost 4446184
Time 0.4635 Cost 4465824
Time 0.4616 Cost 4464143
Time 0.4611 Cost 4469098
Time 0.4572 Cost 4669452
Time 0.4585 Cost 4451843
Time 0.4574 Cost 4509864
Time 0.4576 Cost 4498661
Time 0.4581 Cost 4507048
Time 0.4858 Cost 5040451
Time 0.4847 Cost 5038949
Time 0.4630 Cost 4584533
Time 0.4663 Cost 4654836
Time 0.4592 Cost 4535371
Time 0.4592 Cost 4549538
Time 0.4594 Cost 4543695
Time 0.4565 Cost 4488193
Time 0.4578 Cost 4503249
Time 0.4670 Cost 4519491
Time 0.4624 Cost 4580494
Time 0.4646 Cost 4511107
Time 0.4640 Cost 4526058
Time 0.4629 Cost 4532900
Time 0.4646 Cost 4627812
Time 0.4647 Cost 4625718
Time 0.4649 Cost 4556920
Time 0.4643 Cost 4909422
Time 0.4652 Cost 4578238
Time 0.4651 Cost 4563541
Time 0.4715 Cost 4726937
Time 0.4613 Cost 4501226
Time 0.4622 Cost 4499561
Time 0.4626 Cost 4502162
Time 0.4647 Cost 4553468
Time 0.4862 Cost 4962252
Time 0.4866 Cost 4963643
Time 0.4858 Cost 4946957
Time 0.4869 Cost 4928343
Time 0.4881 Cost 4935067
Time 0.6998 Cost 8427824
Time 0.6986 Cost 8398576
Time 0.6987 Cost 8454847
Time 0.7001 Cost 8454375
Time 0.6534 Cost 7668045
Time 0.7009 Cost 8454876
Time 0.7279 Cost 8949609
Time 0.7259 Cost 8960731
Time 0.7248 Cost 8959514
Tot 25.3902
Cost 8959514 - Time 30.948
