n 1890815, m 4657742
Time 0.5888 Cost 4194074
Time 0.5838 Cost 4217753
Time 0.5841 Cost 4446184
Time 0.5834 Cost 4465824
Time 0.5812 Cost 4464143
Time 0.5813 Cost 4469098
Time 0.5799 Cost 4669452
Time 0.5805 Cost 4451843
Time 0.5821 Cost 4509864
Time 0.5822 Cost 4498661
Time 0.5840 Cost 4507048
Time 0.5814 Cost 5040451
Time 0.5808 Cost 5038949
Time 0.5801 Cost 4584533
Time 0.5792 Cost 4654836
Time 0.5791 Cost 4535371
Time 0.5870 Cost 4549538
Time 0.5802 Cost 4543695
Time 0.5797 Cost 4488193
Time 0.5793 Cost 4503249
Time 0.5799 Cost 4519491
Time 0.5791 Cost 4580494
Time 0.5806 Cost 4511107
Time 0.5802 Cost 4526058
Time 0.5802 Cost 4532900
Time 0.5794 Cost 4627812
Time 0.5792 Cost 4625718
Time 0.5798 Cost 4556920
Time 0.5783 Cost 4909422
Time 0.5796 Cost 4578238
Time 0.5798 Cost 4563541
Time 0.5801 Cost 4726937
Time 0.5798 Cost 4501226
Time 0.5804 Cost 4499561
Time 0.5803 Cost 4502162
Time 0.5802 Cost 4553468
Time 0.5800 Cost 4962252
Time 0.5800 Cost 4963643
Time 0.5797 Cost 4946957
Time 0.5805 Cost 4928343
Time 0.5804 Cost 4935067
Time 0.5797 Cost 8427824
Time 0.5806 Cost 8398576
Time 0.5796 Cost 8454847
Time 0.5795 Cost 8454375
Time 0.5793 Cost 7668045
Time 0.5794 Cost 8454876
Time 0.5794 Cost 8949609
Time 0.5869 Cost 8960731
Time 0.5802 Cost 8959514
Tot 29.0411
Cost 8959514 - Time 35.961
