n 1890815, m 4657742
Time 0.3171 Cost 4194074
Time 0.3020 Cost 4217753
Time 0.3302 Cost 4446184
Time 0.3311 Cost 4465824
Time 0.3312 Cost 4464143
Time 0.3292 Cost 4469098
Time 0.3257 Cost 4669452
Time 0.3272 Cost 4451843
Time 0.3263 Cost 4509864
Time 0.3269 Cost 4498661
Time 0.3271 Cost 4507048
Time 0.3468 Cost 5040451
Time 0.3510 Cost 5038949
Time 0.3299 Cost 4584533
Time 0.3319 Cost 4654836
Time 0.3265 Cost 4535371
Time 0.3283 Cost 4549538
Time 0.3339 Cost 4543695
Time 0.3254 Cost 4488193
Time 0.3289 Cost 4503249
Time 0.3279 Cost 4519491
Time 0.3287 Cost 4580494
Time 0.3294 Cost 4511107
Time 0.3293 Cost 4526058
Time 0.3296 Cost 4532900
Time 0.3304 Cost 4627812
Time 0.3299 Cost 4625718
Time 0.3302 Cost 4556920
Time 0.3299 Cost 4909422
Time 0.3307 Cost 4578238
Time 0.3310 Cost 4563541
Time 0.3362 Cost 4726937
Time 0.3279 Cost 4501226
Time 0.3293 Cost 4499561
Time 0.3288 Cost 4502162
Time 0.3304 Cost 4553468
Time 0.3458 Cost 4962252
Time 0.3457 Cost 4963643
Time 0.3449 Cost 4946957
Time 0.3461 Cost 4928343
Time 0.3461 Cost 4935067
Time 0.4930 Cost 8427824
Time 0.4939 Cost 8398576
Time 0.4921 Cost 8454847
Time 0.4926 Cost 8454375
Time 0.4605 Cost 7668045
Time 0.4940 Cost 8454876
Time 0.5135 Cost 8949609
Time 0.5124 Cost 8960731
Time 0.5123 Cost 8959514
Tot 18.0500
Cost 8959514 - Time 23.605
