n 1890815, m 4657742
Time 0.3154 Cost 4194074
Time 0.2957 Cost 4217753
Time 0.3239 Cost 4446184
Time 0.3229 Cost 4465824
Time 0.3213 Cost 4464143
Time 0.3227 Cost 4469098
Time 0.3185 Cost 4669452
Time 0.3196 Cost 4451843
Time 0.3192 Cost 4509864
Time 0.3193 Cost 4498661
Time 0.3196 Cost 4507048
Time 0.3384 Cost 5040451
Time 0.3381 Cost 5038949
Time 0.3224 Cost 4584533
Time 0.3256 Cost 4654836
Time 0.3202 Cost 4535371
Time 0.3200 Cost 4549538
Time 0.3199 Cost 4543695
Time 0.3177 Cost 4488193
Time 0.3187 Cost 4503249
Time 0.3215 Cost 4519491
Time 0.3221 Cost 4580494
Time 0.3234 Cost 4511107
Time 0.3231 Cost 4526058
Time 0.3224 Cost 4532900
Time 0.3271 Cost 4627812
Time 0.3236 Cost 4625718
Time 0.3238 Cost 4556920
Time 0.3235 Cost 4909422
Time 0.3236 Cost 4578238
Time 0.3295 Cost 4563541
Time 0.3291 Cost 4726937
Time 0.3219 Cost 4501226
Time 0.3223 Cost 4499561
Time 0.3220 Cost 4502162
Time 0.3236 Cost 4553468
Time 0.3377 Cost 4962252
Time 0.3381 Cost 4963643
Time 0.3374 Cost 4946957
Time 0.3387 Cost 4928343
Time 0.3384 Cost 4935067
Time 0.4837 Cost 8427824
Time 0.4830 Cost 8398576
Time 0.4821 Cost 8454847
Time 0.4830 Cost 8454375
Time 0.4506 Cost 7668045
Time 0.4825 Cost 8454876
Time 0.5024 Cost 8949609
Time 0.5016 Cost 8960731
Time 0.5013 Cost 8959514
Tot 17.6633
Cost 8959514 - Time 23.213
