n 435666, m 1057066
Time 0.2238 Cost 5177543
Time 0.1168 Cost 1815375
Time 0.1148 Cost 1862979
Time 0.1031 Cost 1674431
Time 0.1133 Cost 1831562
Time 0.1130 Cost 1429685
Time 0.1132 Cost 1432979
Time 0.1147 Cost 1459775
Time 0.1169 Cost 1503827
Time 0.1170 Cost 1497754
Time 0.1167 Cost 1495784
Time 0.1306 Cost 1831442
Time 0.1250 Cost 1729391
Time 0.1230 Cost 1666492
Time 0.1317 Cost 2201550
Time 0.1387 Cost 2359950
Time 0.1384 Cost 2336226
Time 0.1375 Cost 2313681
Time 0.1361 Cost 2362318
Time 0.1400 Cost 2430879
Time 0.1524 Cost 2665830
Time 0.1402 Cost 2418151
Time 0.1402 Cost 2408318
Time 0.1400 Cost 2400816
Time 0.1585 Cost 2853431
Time 0.1577 Cost 2857618
Time 0.1391 Cost 2414923
Time 0.1534 Cost 2646678
Time 0.2257 Cost 5629563
Time 0.1282 Cost 2166670
Time 0.1333 Cost 2222870
Time 0.1338 Cost 2222821
Time 0.1319 Cost 2187097
Time 0.1365 Cost 2251427
Time 0.1358 Cost 2251626
Time 0.1322 Cost 2207071
Time 0.1311 Cost 2184786
Time 0.1642 Cost 2741727
Time 0.1642 Cost 2736198
Time 0.1692 Cost 2932315
Time 0.1691 Cost 2929267
Time 0.1719 Cost 2888823
Time 0.1722 Cost 2886747
Time 0.1577 Cost 2617288
Time 0.1578 Cost 2618539
Time 0.1341 Cost 2224544
Time 0.1339 Cost 2220144
Time 0.1569 Cost 2605625
Time 0.1569 Cost 2597132
Time 0.1723 Cost 3008254
Tot 7.1154
Cost 3008254 - Time 8.326
