n 435666, m 1057066
Time 0.1574 Cost 5177543
Time 0.0819 Cost 1815375
Time 0.0805 Cost 1862979
Time 0.0746 Cost 1674431
Time 0.0799 Cost 1831562
Time 0.0792 Cost 1429685
Time 0.0792 Cost 1432979
Time 0.0802 Cost 1459775
Time 0.0829 Cost 1503827
Time 0.0845 Cost 1497754
Time 0.0819 Cost 1495784
Time 0.0914 Cost 1831442
Time 0.0876 Cost 1729391
Time 0.0867 Cost 1666492
Time 0.0922 Cost 2201550
Time 0.0971 Cost 2359950
Time 0.0967 Cost 2336226
Time 0.0963 Cost 2313681
Time 0.0959 Cost 2362318
Time 0.0978 Cost 2430879
Time 0.1065 Cost 2665830
Time 0.0985 Cost 2418151
Time 0.0985 Cost 2408318
Time 0.0978 Cost 2400816
Time 0.1120 Cost 2853431
Time 0.1107 Cost 2857618
Time 0.0974 Cost 2414923
Time 0.1067 Cost 2646678
Time 0.1573 Cost 5629563
Time 0.0902 Cost 2166670
Time 0.0931 Cost 2222870
Time 0.0936 Cost 2222821
Time 0.0918 Cost 2187097
Time 0.0958 Cost 2251427
Time 0.0950 Cost 2251626
Time 0.0925 Cost 2207071
Time 0.0914 Cost 2184786
Time 0.1149 Cost 2741727
Time 0.1143 Cost 2736198
Time 0.1180 Cost 2932315
Time 0.1178 Cost 2929267
Time 0.1200 Cost 2888823
Time 0.1197 Cost 2886747
Time 0.1102 Cost 2617288
Time 0.1110 Cost 2618539
Time 0.0937 Cost 2224544
Time 0.0935 Cost 2220144
Time 0.1095 Cost 2605625
Time 0.1097 Cost 2597132
Time 0.1200 Cost 3008254
Tot 4.9856
Cost 3008254 - Time 6.190
