n 435666, m 1057066
Time 0.1523 Cost 5177543
Time 0.0794 Cost 1815375
Time 0.0782 Cost 1862979
Time 0.0701 Cost 1674431
Time 0.0836 Cost 1831562
Time 0.0812 Cost 1429685
Time 0.0780 Cost 1432979
Time 0.0783 Cost 1459775
Time 0.0799 Cost 1503827
Time 0.0830 Cost 1497754
Time 0.0794 Cost 1495784
Time 0.0889 Cost 1831442
Time 0.0849 Cost 1729391
Time 0.0850 Cost 1666492
Time 0.0894 Cost 2201550
Time 0.1006 Cost 2359950
Time 0.1001 Cost 2336226
Time 0.1003 Cost 2313681
Time 0.0974 Cost 2362318
Time 0.0974 Cost 2430879
Time 0.1037 Cost 2665830
Time 0.0962 Cost 2418151
Time 0.0955 Cost 2408318
Time 0.1005 Cost 2400816
Time 0.1118 Cost 2853431
Time 0.1071 Cost 2857618
Time 0.0945 Cost 2414923
Time 0.1035 Cost 2646678
Time 0.1530 Cost 5629563
Time 0.0869 Cost 2166670
Time 0.0904 Cost 2222870
Time 0.0909 Cost 2222821
Time 0.0897 Cost 2187097
Time 0.0924 Cost 2251427
Time 0.0920 Cost 2251626
Time 0.0896 Cost 2207071
Time 0.0889 Cost 2184786
Time 0.1109 Cost 2741727
Time 0.1108 Cost 2736198
Time 0.1144 Cost 2932315
Time 0.1143 Cost 2929267
Time 0.1162 Cost 2888823
Time 0.1163 Cost 2886747
Time 0.1069 Cost 2617288
Time 0.1071 Cost 2618539
Time 0.0909 Cost 2224544
Time 0.0909 Cost 2220144
Time 0.1062 Cost 2605625
Time 0.1064 Cost 2597132
Time 0.1165 Cost 3008254
Tot 4.8826
Cost 3008254 - Time 6.089
