n 3598623, m 8778114
Time 1.4318 Cost 5269491
Time 1.4228 Cost 5247742
Time 1.4227 Cost 5214006
Time 1.4367 Cost 4821549
Time 1.4209 Cost 5237621
Time 1.4220 Cost 5154240
Time 1.4214 Cost 5157641
Time 1.4228 Cost 5156354
Time 1.4213 Cost 5117328
Time 1.4206 Cost 5144992
Time 1.4212 Cost 5143697
Time 1.4228 Cost 5122153
Time 1.4257 Cost 5188103
Time 1.4231 Cost 5235307
Time 1.4277 Cost 4812552
Time 1.4228 Cost 5180574
Time 1.4379 Cost 4782956
Time 1.4231 Cost 5343465
Time 1.4282 Cost 4924759
Time 1.4275 Cost 4884245
Time 1.4242 Cost 5319920
Time 1.4250 Cost 5321599
Time 1.4257 Cost 5337460
Time 1.4277 Cost 5209674
Time 1.4242 Cost 5337661
Time 1.4261 Cost 5332122
Time 1.4246 Cost 5359441
Time 1.4254 Cost 5371759
Time 1.4250 Cost 5360270
Time 1.4249 Cost 5361470
Time 1.4256 Cost 5396317
Time 1.4277 Cost 5389026
Time 1.4258 Cost 5395005
Time 1.4299 Cost 5199335
Time 1.4233 Cost 5333030
Time 1.4252 Cost 5305987
Time 1.4215 Cost 5391340
Time 1.4341 Cost 5320646
Time 1.4254 Cost 5296594
Time 1.4261 Cost 5298507
Time 1.4274 Cost 5284920
Time 1.4211 Cost 5409989
Time 1.4252 Cost 5316856
Time 1.4249 Cost 5319924
Time 1.4248 Cost 5321278
Time 1.4251 Cost 5323151
Time 1.4264 Cost 5309643
Time 1.4281 Cost 5163030
Time 1.4238 Cost 5340759
Time 1.4276 Cost 5261583
Tot 71.2754
Cost 5261583 - Time 84.348
