n 3598623, m 8778114
Time 1.4201 Cost 5269491
Time 1.4149 Cost 5247742
Time 1.4022 Cost 5214006
Time 1.3608 Cost 4821549
Time 1.4030 Cost 5237621
Time 1.3892 Cost 5154240
Time 1.3870 Cost 5157641
Time 1.3867 Cost 5156354
Time 1.3800 Cost 5117328
Time 1.3842 Cost 5144992
Time 1.3847 Cost 5143697
Time 1.3799 Cost 5122153
Time 1.3944 Cost 5188103
Time 1.3984 Cost 5235307
Time 1.3507 Cost 4812552
Time 1.3915 Cost 5180574
Time 1.3453 Cost 4782956
Time 1.4211 Cost 5343465
Time 1.3763 Cost 4924759
Time 1.3695 Cost 4884245
Time 1.4197 Cost 5319920
Time 1.4197 Cost 5321599
Time 1.4220 Cost 5337460
Time 1.4098 Cost 5209674
Time 1.4177 Cost 5337661
Time 1.4221 Cost 5332122
Time 1.4208 Cost 5359441
Time 1.4225 Cost 5371759
Time 1.4206 Cost 5360270
Time 1.4190 Cost 5361470
Time 1.4220 Cost 5396317
Time 1.4220 Cost 5389026
Time 1.4187 Cost 5395005
Time 1.4027 Cost 5199335
Time 1.4208 Cost 5333030
Time 1.4205 Cost 5305987
Time 1.4244 Cost 5391340
Time 1.4060 Cost 5320646
Time 1.4178 Cost 5296594
Time 1.4173 Cost 5298507
Time 1.4166 Cost 5284920
Time 1.4274 Cost 5409989
Time 1.4223 Cost 5316856
Time 1.4216 Cost 5319924
Time 1.4277 Cost 5321278
Time 1.4210 Cost 5323151
Time 1.4201 Cost 5309643
Time 1.4200 Cost 5163030
Time 1.4204 Cost 5340759
Time 1.4051 Cost 5261583
Tot 70.3090
Cost 5261583 - Time 80.817
