n 3598623, m 8778114
Time 1.5001 Cost 5269491
Time 1.4910 Cost 5247742
Time 1.4883 Cost 5214006
Time 1.4462 Cost 4821549
Time 1.4913 Cost 5237621
Time 1.4746 Cost 5154240
Time 1.4724 Cost 5157641
Time 1.4739 Cost 5156354
Time 1.4649 Cost 5117328
Time 1.4716 Cost 5144992
Time 1.4698 Cost 5143697
Time 1.4627 Cost 5122153
Time 1.4803 Cost 5188103
Time 1.4849 Cost 5235307
Time 1.4355 Cost 4812552
Time 1.4769 Cost 5180574
Time 1.4291 Cost 4782956
Time 1.5087 Cost 5343465
Time 1.4610 Cost 4924759
Time 1.4571 Cost 4884245
Time 1.5097 Cost 5319920
Time 1.5048 Cost 5321599
Time 1.5068 Cost 5337460
Time 1.4876 Cost 5209674
Time 1.5039 Cost 5337661
Time 1.5048 Cost 5332122
Time 1.5060 Cost 5359441
Time 1.5068 Cost 5371759
Time 1.5052 Cost 5360270
Time 1.5041 Cost 5361470
Time 1.5109 Cost 5396317
Time 1.5082 Cost 5389026
Time 1.5024 Cost 5395005
Time 1.4876 Cost 5199335
Time 1.5081 Cost 5333030
Time 1.5047 Cost 5305987
Time 1.5079 Cost 5391340
Time 1.4929 Cost 5320646
Time 1.5033 Cost 5296594
Time 1.5096 Cost 5298507
Time 1.5032 Cost 5284920
Time 1.5125 Cost 5409989
Time 1.5075 Cost 5316856
Time 1.5075 Cost 5319924
Time 1.5078 Cost 5321278
Time 1.5082 Cost 5323151
Time 1.5102 Cost 5309643
Time 1.5069 Cost 5163030
Time 1.5081 Cost 5340759
Time 1.4923 Cost 5261583
Tot 74.5804
Cost 5261583 - Time 85.235
