n 3598623, m 8778114
Time 1.3800 Cost 5269491
Time 1.3694 Cost 5247742
Time 1.3643 Cost 5214006
Time 1.3177 Cost 4821549
Time 1.3752 Cost 5237621
Time 1.3514 Cost 5154240
Time 1.3524 Cost 5157641
Time 1.3528 Cost 5156354
Time 1.3456 Cost 5117328
Time 1.3499 Cost 5144992
Time 1.3500 Cost 5143697
Time 1.3428 Cost 5122153
Time 1.3662 Cost 5188103
Time 1.3644 Cost 5235307
Time 1.3177 Cost 4812552
Time 1.3588 Cost 5180574
Time 1.3117 Cost 4782956
Time 1.3869 Cost 5343465
Time 1.3443 Cost 4924759
Time 1.3400 Cost 4884245
Time 1.3870 Cost 5319920
Time 1.3869 Cost 5321599
Time 1.3892 Cost 5337460
Time 1.3701 Cost 5209674
Time 1.3849 Cost 5337661
Time 1.3873 Cost 5332122
Time 1.3866 Cost 5359441
Time 1.3864 Cost 5371759
Time 1.3878 Cost 5360270
Time 1.3836 Cost 5361470
Time 1.3881 Cost 5396317
Time 1.3878 Cost 5389026
Time 1.3847 Cost 5395005
Time 1.3672 Cost 5199335
Time 1.3916 Cost 5333030
Time 1.3848 Cost 5305987
Time 1.3897 Cost 5391340
Time 1.3725 Cost 5320646
Time 1.3839 Cost 5296594
Time 1.3844 Cost 5298507
Time 1.3835 Cost 5284920
Time 1.3937 Cost 5409989
Time 1.3864 Cost 5316856
Time 1.3872 Cost 5319924
Time 1.3871 Cost 5321278
Time 1.3884 Cost 5323151
Time 1.3874 Cost 5309643
Time 1.3867 Cost 5163030
Time 1.3866 Cost 5340759
Time 1.3715 Cost 5261583
Tot 68.5850
Cost 5261583 - Time 79.096
