n 1070376, m 2712798
Time 0.1178 Cost 5126558
Time 0.1115 Cost 5138267
Time 0.1140 Cost 5291559
Time 0.1138 Cost 5231491
Time 0.1129 Cost 5219598
Time 0.1129 Cost 5208820
Time 0.1148 Cost 5295486
Time 0.1150 Cost 5332548
Time 0.1149 Cost 5332193
Time 0.1146 Cost 5317971
Time 0.1139 Cost 5306628
Time 0.1187 Cost 5458109
Time 0.1187 Cost 5456838
Time 0.1195 Cost 5475901
Time 0.1192 Cost 5466666
Time 0.1135 Cost 5287745
Time 0.1139 Cost 5246763
Time 0.1160 Cost 5314179
Time 0.1134 Cost 5231416
Time 0.1137 Cost 5252576
Time 0.1138 Cost 5253904
Time 0.1137 Cost 5262721
Time 0.1148 Cost 5303980
Time 0.1131 Cost 5240695
Time 0.1144 Cost 5289278
Time 0.1143 Cost 5258861
Time 0.1139 Cost 5236485
Time 0.1142 Cost 5268899
Time 0.1138 Cost 5244095
Time 0.1140 Cost 5248803
Time 0.1141 Cost 5257573
Time 0.1145 Cost 5276192
Time 0.1143 Cost 5267834
Time 0.1133 Cost 5199260
Time 0.1132 Cost 5193567
Time 0.1123 Cost 5208950
Time 0.1124 Cost 5185971
Time 0.1125 Cost 5180874
Time 0.1129 Cost 5216952
Time 0.1132 Cost 5202479
Time 0.1130 Cost 5206839
Time 0.1133 Cost 5205818
Time 0.1136 Cost 5261670
Time 0.1139 Cost 5240686
Time 0.1137 Cost 5233929
Time 0.1119 Cost 5181946
Time 0.1117 Cost 5175182
Time 0.1132 Cost 5232083
Time 0.1133 Cost 5230312
Time 0.1129 Cost 5200856
Tot 5.7066
Cost 5200856 - Time 8.813
