n 1070376, m 2712798
Time 0.2785 Cost 5126558
Time 0.2746 Cost 5138267
Time 0.2741 Cost 5291559
Time 0.2751 Cost 5231491
Time 0.2748 Cost 5219598
Time 0.2751 Cost 5208820
Time 0.2750 Cost 5295486
Time 0.2750 Cost 5332548
Time 0.2751 Cost 5332193
Time 0.2750 Cost 5317971
Time 0.2819 Cost 5306628
Time 0.2743 Cost 5458109
Time 0.2746 Cost 5456838
Time 0.2744 Cost 5475901
Time 0.2745 Cost 5466666
Time 0.2745 Cost 5287745
Time 0.2752 Cost 5246763
Time 0.2759 Cost 5314179
Time 0.2750 Cost 5231416
Time 0.2765 Cost 5252576
Time 0.2752 Cost 5253904
Time 0.2764 Cost 5262721
Time 0.2749 Cost 5303980
Time 0.2750 Cost 5240695
Time 0.2753 Cost 5289278
Time 0.2756 Cost 5258861
Time 0.2752 Cost 5236485
Time 0.2752 Cost 5268899
Time 0.2752 Cost 5244095
Time 0.2753 Cost 5248803
Time 0.2753 Cost 5257573
Time 0.2751 Cost 5276192
Time 0.2755 Cost 5267834
Time 0.2744 Cost 5199260
Time 0.2748 Cost 5193567
Time 0.2748 Cost 5208950
Time 0.2745 Cost 5185971
Time 0.2747 Cost 5180874
Time 0.2749 Cost 5216952
Time 0.2749 Cost 5202479
Time 0.2746 Cost 5206839
Time 0.2748 Cost 5205818
Time 0.2746 Cost 5261670
Time 0.2835 Cost 5240686
Time 0.2748 Cost 5233929
Time 0.2749 Cost 5181946
Time 0.2746 Cost 5175182
Time 0.2745 Cost 5232083
Time 0.2746 Cost 5230312
Time 0.2747 Cost 5200856
Tot 13.7674
Cost 5200856 - Time 17.480
