n 1070376, m 2712798
Time 0.0853 Cost 5126558
Time 0.0788 Cost 5138267
Time 0.0809 Cost 5291559
Time 0.0826 Cost 5231491
Time 0.0815 Cost 5219598
Time 0.0811 Cost 5208820
Time 0.0817 Cost 5295486
Time 0.0815 Cost 5332548
Time 0.0815 Cost 5332193
Time 0.0811 Cost 5317971
Time 0.0806 Cost 5306628
Time 0.0841 Cost 5458109
Time 0.0839 Cost 5456838
Time 0.0846 Cost 5475901
Time 0.0844 Cost 5466666
Time 0.0804 Cost 5287745
Time 0.0808 Cost 5246763
Time 0.0821 Cost 5314179
Time 0.0804 Cost 5231416
Time 0.0812 Cost 5252576
Time 0.0807 Cost 5253904
Time 0.0807 Cost 5262721
Time 0.0813 Cost 5303980
Time 0.0802 Cost 5240695
Time 0.0811 Cost 5289278
Time 0.0810 Cost 5258861
Time 0.0807 Cost 5236485
Time 0.0810 Cost 5268899
Time 0.0806 Cost 5244095
Time 0.0808 Cost 5248803
Time 0.0809 Cost 5257573
Time 0.0812 Cost 5276192
Time 0.0813 Cost 5267834
Time 0.0806 Cost 5199260
Time 0.0806 Cost 5193567
Time 0.0797 Cost 5208950
Time 0.0803 Cost 5185971
Time 0.0800 Cost 5180874
Time 0.0801 Cost 5216952
Time 0.0804 Cost 5202479
Time 0.0804 Cost 5206839
Time 0.0803 Cost 5205818
Time 0.0805 Cost 5261670
Time 0.0808 Cost 5240686
Time 0.0806 Cost 5233929
Time 0.0794 Cost 5181946
Time 0.0792 Cost 5175182
Time 0.0803 Cost 5232083
Time 0.0803 Cost 5230312
Time 0.0802 Cost 5200856
Tot 4.0543
Cost 5200856 - Time 7.154
