n 2758119, m 6885658
Time 0.1859 Cost 2024064
Time 0.1543 Cost 1910162
Time 0.1995 Cost 2202255
Time 0.1823 Cost 2089389
Time 0.1795 Cost 2067771
Time 0.1591 Cost 1950558
Time 0.1521 Cost 1894695
Time 0.1794 Cost 2066496
Time 0.1837 Cost 2062639
Time 0.1866 Cost 2111320
Time 0.1876 Cost 2118623
Time 0.1824 Cost 2072696
Time 0.1864 Cost 2113823
Time 0.1847 Cost 2103360
Time 0.1783 Cost 2064964
Time 0.1800 Cost 2044975
Time 0.1802 Cost 2048116
Time 0.1770 Cost 2020522
Time 0.1756 Cost 2012426
Time 0.1770 Cost 2021242
Time 0.1832 Cost 2083422
Time 0.1766 Cost 2078716
Time 0.1763 Cost 2055764
Time 0.1831 Cost 2073972
Time 0.1552 Cost 1927901
Time 0.1848 Cost 2133205
Time 0.1601 Cost 1957472
Time 0.1784 Cost 2071970
Time 0.1579 Cost 1899512
Time 0.1557 Cost 1886854
Time 0.1612 Cost 1971773
Time 0.2019 Cost 2221629
Time 0.2019 Cost 2202412
Time 0.1377 Cost 1804001
Time 0.1369 Cost 1762101
Time 0.1779 Cost 2071236
Time 0.2140 Cost 2291620
Time 0.1972 Cost 2171932
Time 0.1956 Cost 2134495
Time 0.1988 Cost 2150871
Time 0.1895 Cost 2106847
Time 0.1900 Cost 2131947
Time 0.1909 Cost 2133813
Time 0.1981 Cost 2175241
Time 0.1876 Cost 2122206
Time 0.1891 Cost 2093016
Time 0.1962 Cost 2134950
Time 0.1957 Cost 2134509
Time 0.1999 Cost 2190556
Time 0.1966 Cost 2166907
Tot 9.0400
Cost 2166907 - Time 17.285
