n 2758119, m 6885658
Time 0.8999 Cost 2024064
Time 0.8921 Cost 1910162
Time 0.8927 Cost 2202255
Time 0.8930 Cost 2089389
Time 0.8937 Cost 2067771
Time 0.8924 Cost 1950558
Time 0.8934 Cost 1894695
Time 0.9050 Cost 2066496
Time 0.8966 Cost 2062639
Time 0.8928 Cost 2111320
Time 0.8929 Cost 2118623
Time 0.8935 Cost 2072696
Time 0.8928 Cost 2113823
Time 0.9008 Cost 2103360
Time 0.8926 Cost 2064964
Time 0.8959 Cost 2044975
Time 0.8944 Cost 2048116
Time 0.8936 Cost 2020522
Time 0.8939 Cost 2012426
Time 0.8947 Cost 2021242
Time 0.8935 Cost 2083422
Time 0.8932 Cost 2078716
Time 0.8935 Cost 2055764
Time 0.8951 Cost 2073972
Time 0.8956 Cost 1927901
Time 0.8949 Cost 2133205
Time 0.8953 Cost 1957472
Time 0.8942 Cost 2071970
Time 0.8964 Cost 1899512
Time 0.8977 Cost 1886854
Time 0.8950 Cost 1971773
Time 0.8943 Cost 2221629
Time 0.8929 Cost 2202412
Time 0.8932 Cost 1804001
Time 0.8944 Cost 1762101
Time 0.8927 Cost 2071236
Time 0.8917 Cost 2291620
Time 0.8923 Cost 2171932
Time 0.8971 Cost 2134495
Time 0.8954 Cost 2150871
Time 0.8950 Cost 2106847
Time 0.8939 Cost 2131947
Time 0.8936 Cost 2133813
Time 0.8936 Cost 2175241
Time 0.8936 Cost 2122206
Time 0.8940 Cost 2093016
Time 0.8943 Cost 2134950
Time 0.9029 Cost 2134509
Time 0.8928 Cost 2190556
Time 0.8930 Cost 2166907
Tot 44.7330
Cost 2166907 - Time 55.023
