n 2758119, m 6885658
Time 0.1396 Cost 2024064
Time 0.1136 Cost 1910162
Time 0.1457 Cost 2202255
Time 0.1334 Cost 2089389
Time 0.1317 Cost 2067771
Time 0.1171 Cost 1950558
Time 0.1121 Cost 1894695
Time 0.1313 Cost 2066496
Time 0.1347 Cost 2062639
Time 0.1364 Cost 2111320
Time 0.1369 Cost 2118623
Time 0.1335 Cost 2072696
Time 0.1363 Cost 2113823
Time 0.1352 Cost 2103360
Time 0.1305 Cost 2064964
Time 0.1320 Cost 2044975
Time 0.1318 Cost 2048116
Time 0.1298 Cost 2020522
Time 0.1288 Cost 2012426
Time 0.1296 Cost 2021242
Time 0.1338 Cost 2083422
Time 0.1296 Cost 2078716
Time 0.1290 Cost 2055764
Time 0.1342 Cost 2073972
Time 0.1147 Cost 1927901
Time 0.1348 Cost 2133205
Time 0.1171 Cost 1957472
Time 0.1309 Cost 2071970
Time 0.1163 Cost 1899512
Time 0.1149 Cost 1886854
Time 0.1186 Cost 1971773
Time 0.1474 Cost 2221629
Time 0.1476 Cost 2202412
Time 0.1023 Cost 1804001
Time 0.1017 Cost 1762101
Time 0.1304 Cost 2071236
Time 0.1560 Cost 2291620
Time 0.1441 Cost 2171932
Time 0.1429 Cost 2134495
Time 0.1426 Cost 2150871
Time 0.1370 Cost 2106847
Time 0.1385 Cost 2131947
Time 0.1386 Cost 2133813
Time 0.1442 Cost 2175241
Time 0.1380 Cost 2122206
Time 0.1383 Cost 2093016
Time 0.1436 Cost 2134950
Time 0.1488 Cost 2134509
Time 0.1453 Cost 2190556
Time 0.1431 Cost 2166907
Tot 6.6250
Cost 2166907 - Time 14.943
