n 2758119, m 6885658
Time 0.1414 Cost 2024064
Time 0.1157 Cost 1910162
Time 0.1487 Cost 2202255
Time 0.1358 Cost 2089389
Time 0.1345 Cost 2067771
Time 0.1187 Cost 1950558
Time 0.1135 Cost 1894695
Time 0.1344 Cost 2066496
Time 0.1373 Cost 2062639
Time 0.1390 Cost 2111320
Time 0.1405 Cost 2118623
Time 0.1361 Cost 2072696
Time 0.1391 Cost 2113823
Time 0.1384 Cost 2103360
Time 0.1331 Cost 2064964
Time 0.1346 Cost 2044975
Time 0.1352 Cost 2048116
Time 0.1323 Cost 2020522
Time 0.1315 Cost 2012426
Time 0.1329 Cost 2021242
Time 0.1364 Cost 2083422
Time 0.1316 Cost 2078716
Time 0.1317 Cost 2055764
Time 0.1365 Cost 2073972
Time 0.1159 Cost 1927901
Time 0.1379 Cost 2133205
Time 0.1191 Cost 1957472
Time 0.1329 Cost 2071970
Time 0.1186 Cost 1899512
Time 0.1165 Cost 1886854
Time 0.1207 Cost 1971773
Time 0.1503 Cost 2221629
Time 0.1510 Cost 2202412
Time 0.1033 Cost 1804001
Time 0.1029 Cost 1762101
Time 0.1333 Cost 2071236
Time 0.1596 Cost 2291620
Time 0.1470 Cost 2171932
Time 0.1465 Cost 2134495
Time 0.1453 Cost 2150871
Time 0.1404 Cost 2106847
Time 0.1415 Cost 2131947
Time 0.1414 Cost 2133813
Time 0.1479 Cost 2175241
Time 0.1402 Cost 2122206
Time 0.1412 Cost 2093016
Time 0.1471 Cost 2134950
Time 0.1465 Cost 2134509
Time 0.1487 Cost 2190556
Time 0.1465 Cost 2166907
Tot 6.7517
Cost 2166907 - Time 15.147
