n 2758119, m 6885658
Time 0.1382 Cost 2024064
Time 0.1116 Cost 1910162
Time 0.1433 Cost 2202255
Time 0.1314 Cost 2089389
Time 0.1293 Cost 2067771
Time 0.1149 Cost 1950558
Time 0.1105 Cost 1894695
Time 0.1294 Cost 2066496
Time 0.1322 Cost 2062639
Time 0.1343 Cost 2111320
Time 0.1345 Cost 2118623
Time 0.1313 Cost 2072696
Time 0.1345 Cost 2113823
Time 0.1324 Cost 2103360
Time 0.1278 Cost 2064964
Time 0.1301 Cost 2044975
Time 0.1293 Cost 2048116
Time 0.1272 Cost 2020522
Time 0.1271 Cost 2012426
Time 0.1273 Cost 2021242
Time 0.1313 Cost 2083422
Time 0.1270 Cost 2078716
Time 0.1267 Cost 2055764
Time 0.1316 Cost 2073972
Time 0.1119 Cost 1927901
Time 0.1326 Cost 2133205
Time 0.1152 Cost 1957472
Time 0.1281 Cost 2071970
Time 0.1147 Cost 1899512
Time 0.1126 Cost 1886854
Time 0.1164 Cost 1971773
Time 0.1450 Cost 2221629
Time 0.1451 Cost 2202412
Time 0.1004 Cost 1804001
Time 0.1001 Cost 1762101
Time 0.1287 Cost 2071236
Time 0.1525 Cost 2291620
Time 0.1413 Cost 2171932
Time 0.1406 Cost 2134495
Time 0.1395 Cost 2150871
Time 0.1350 Cost 2106847
Time 0.1359 Cost 2131947
Time 0.1364 Cost 2133813
Time 0.1420 Cost 2175241
Time 0.1346 Cost 2122206
Time 0.1356 Cost 2093016
Time 0.1412 Cost 2134950
Time 0.1406 Cost 2134509
Time 0.1425 Cost 2190556
Time 0.1412 Cost 2166907
Tot 6.5040
Cost 2166907 - Time 14.730
