n 1524453, m 3897636
Time 0.6353 Cost 2135938
Time 0.4833 Cost 1789227
Time 0.7618 Cost 2313567
Time 0.7673 Cost 2333526
Time 0.5239 Cost 1915737
Time 0.5152 Cost 1885940
Time 0.5837 Cost 2042472
Time 0.5333 Cost 1937609
Time 0.5563 Cost 1982476
Time 0.5712 Cost 2021566
Time 0.5944 Cost 2073668
Time 0.5863 Cost 2054905
Time 0.7452 Cost 2311183
Time 0.7118 Cost 2248602
Time 0.5704 Cost 2019872
Time 0.6147 Cost 2123969
Time 0.8604 Cost 2573878
Time 0.5953 Cost 2059619
Time 0.5940 Cost 2082942
Time 0.6255 Cost 2151445
Time 0.5627 Cost 1998463
Time 0.6290 Cost 2149183
Time 0.4966 Cost 1842229
Time 0.7578 Cost 2297188
Time 0.7581 Cost 2297105
Time 0.5378 Cost 1943097
Time 0.7950 Cost 2402090
Time 0.8081 Cost 2430947
Time 0.5446 Cost 1956890
Time 0.5570 Cost 1988101
Time 0.5585 Cost 1989519
Time 0.5158 Cost 1892899
Time 0.5913 Cost 2060584
Time 0.6037 Cost 2082672
Time 0.5270 Cost 1919236
Time 0.5177 Cost 1896706
Time 0.5417 Cost 1952774
Time 0.5486 Cost 1971152
Time 0.5285 Cost 1920148
Time 0.5418 Cost 1952885
Time 0.6028 Cost 2094970
Time 0.5891 Cost 2069566
Time 0.6084 Cost 2117136
Time 0.6103 Cost 2119779
Time 0.6208 Cost 2171847
Time 0.6221 Cost 2176394
Time 0.6220 Cost 2177572
Time 0.5186 Cost 1895766
Time 0.5237 Cost 1907659
Time 0.6354 Cost 2155147
Tot 30.3045
Cost 2155147 - Time 34.878
