n 1524453, m 3897636
Time 0.5716 Cost 2135938
Time 0.5666 Cost 1789227
Time 0.5537 Cost 2313567
Time 0.5530 Cost 2333526
Time 0.5683 Cost 1915737
Time 0.5666 Cost 1885940
Time 0.5669 Cost 2042472
Time 0.5685 Cost 1937609
Time 0.5675 Cost 1982476
Time 0.5684 Cost 2021566
Time 0.5692 Cost 2073668
Time 0.5687 Cost 2054905
Time 0.5687 Cost 2311183
Time 0.5682 Cost 2248602
Time 0.5675 Cost 2019872
Time 0.5668 Cost 2123969
Time 0.5518 Cost 2573878
Time 0.5675 Cost 2059619
Time 0.5775 Cost 2082942
Time 0.5677 Cost 2151445
Time 0.5674 Cost 1998463
Time 0.5670 Cost 2149183
Time 0.5670 Cost 1842229
Time 0.5551 Cost 2297188
Time 0.5550 Cost 2297105
Time 0.5675 Cost 1943097
Time 0.5529 Cost 2402090
Time 0.5534 Cost 2430947
Time 0.5674 Cost 1956890
Time 0.5677 Cost 1988101
Time 0.5680 Cost 1989519
Time 0.5678 Cost 1892899
Time 0.5704 Cost 2060584
Time 0.5705 Cost 2082672
Time 0.5675 Cost 1919236
Time 0.5671 Cost 1896706
Time 0.5673 Cost 1952774
Time 0.5673 Cost 1971152
Time 0.5674 Cost 1920148
Time 0.5681 Cost 1952885
Time 0.5678 Cost 2094970
Time 0.5666 Cost 2069566
Time 0.5678 Cost 2117136
Time 0.5667 Cost 2119779
Time 0.5666 Cost 2171847
Time 0.5763 Cost 2176394
Time 0.5684 Cost 2177572
Time 0.5672 Cost 1895766
Time 0.5684 Cost 1907659
Time 0.5686 Cost 2155147
Tot 28.3114
Cost 2155147 - Time 33.983
