n 1524453, m 3897636
Time 0.4693 Cost 2135938
Time 0.3682 Cost 1789227
Time 0.5548 Cost 2313567
Time 0.5490 Cost 2333526
Time 0.3751 Cost 1915737
Time 0.3662 Cost 1885940
Time 0.4235 Cost 2042472
Time 0.3803 Cost 1937609
Time 0.3963 Cost 1982476
Time 0.4073 Cost 2021566
Time 0.4241 Cost 2073668
Time 0.4176 Cost 2054905
Time 0.5345 Cost 2311183
Time 0.5097 Cost 2248602
Time 0.4046 Cost 2019872
Time 0.4370 Cost 2123969
Time 0.6136 Cost 2573878
Time 0.4199 Cost 2059619
Time 0.4222 Cost 2082942
Time 0.4454 Cost 2151445
Time 0.4006 Cost 1998463
Time 0.4473 Cost 2149183
Time 0.3537 Cost 1842229
Time 0.5417 Cost 2297188
Time 0.5484 Cost 2297105
Time 0.3846 Cost 1943097
Time 0.5690 Cost 2402090
Time 0.5774 Cost 2430947
Time 0.3882 Cost 1956890
Time 0.3976 Cost 1988101
Time 0.3983 Cost 1989519
Time 0.3683 Cost 1892899
Time 0.4221 Cost 2060584
Time 0.4311 Cost 2082672
Time 0.3760 Cost 1919236
Time 0.3685 Cost 1896706
Time 0.3855 Cost 1952774
Time 0.3906 Cost 1971152
Time 0.3766 Cost 1920148
Time 0.3861 Cost 1952885
Time 0.4291 Cost 2094970
Time 0.4191 Cost 2069566
Time 0.4333 Cost 2117136
Time 0.4343 Cost 2119779
Time 0.4424 Cost 2171847
Time 0.4428 Cost 2176394
Time 0.4430 Cost 2177572
Time 0.3690 Cost 1895766
Time 0.3730 Cost 1907659
Time 0.4529 Cost 2155147
Tot 21.6700
Cost 2155147 - Time 26.255
