n 1524453, m 3897636
Time 0.4805 Cost 2135938
Time 0.3578 Cost 1789227
Time 0.5769 Cost 2313567
Time 0.5815 Cost 2333526
Time 0.3937 Cost 1915737
Time 0.3858 Cost 1885940
Time 0.4385 Cost 2042472
Time 0.4006 Cost 1937609
Time 0.4188 Cost 1982476
Time 0.4297 Cost 2021566
Time 0.4467 Cost 2073668
Time 0.4409 Cost 2054905
Time 0.5667 Cost 2311183
Time 0.5414 Cost 2248602
Time 0.4265 Cost 2019872
Time 0.4616 Cost 2123969
Time 0.6494 Cost 2573878
Time 0.4428 Cost 2059619
Time 0.4458 Cost 2082942
Time 0.4702 Cost 2151445
Time 0.4228 Cost 1998463
Time 0.4729 Cost 2149183
Time 0.3777 Cost 1842229
Time 0.5781 Cost 2297188
Time 0.5745 Cost 2297105
Time 0.4044 Cost 1943097
Time 0.6070 Cost 2402090
Time 0.6125 Cost 2430947
Time 0.4093 Cost 1956890
Time 0.4195 Cost 1988101
Time 0.4200 Cost 1989519
Time 0.3879 Cost 1892899
Time 0.4463 Cost 2060584
Time 0.4561 Cost 2082672
Time 0.3972 Cost 1919236
Time 0.3897 Cost 1896706
Time 0.4075 Cost 1952774
Time 0.4127 Cost 1971152
Time 0.3977 Cost 1920148
Time 0.4081 Cost 1952885
Time 0.4539 Cost 2094970
Time 0.4424 Cost 2069566
Time 0.4573 Cost 2117136
Time 0.4589 Cost 2119779
Time 0.4666 Cost 2171847
Time 0.4675 Cost 2176394
Time 0.4681 Cost 2177572
Time 0.3891 Cost 1895766
Time 0.3937 Cost 1907659
Time 0.4787 Cost 2155147
Tot 22.8343
Cost 2155147 - Time 27.454
