n 1524453, m 3897636
Time 0.4423 Cost 2135938
Time 0.3324 Cost 1789227
Time 0.5323 Cost 2313567
Time 0.5351 Cost 2333526
Time 0.3702 Cost 1915737
Time 0.3566 Cost 1885940
Time 0.4046 Cost 2042472
Time 0.3700 Cost 1937609
Time 0.3861 Cost 1982476
Time 0.3971 Cost 2021566
Time 0.4128 Cost 2073668
Time 0.4070 Cost 2054905
Time 0.5193 Cost 2311183
Time 0.4960 Cost 2248602
Time 0.3936 Cost 2019872
Time 0.4251 Cost 2123969
Time 0.5963 Cost 2573878
Time 0.4076 Cost 2059619
Time 0.4163 Cost 2082942
Time 0.4332 Cost 2151445
Time 0.3897 Cost 1998463
Time 0.4354 Cost 2149183
Time 0.3440 Cost 1842229
Time 0.5276 Cost 2297188
Time 0.5260 Cost 2297105
Time 0.3790 Cost 1943097
Time 0.5548 Cost 2402090
Time 0.5627 Cost 2430947
Time 0.3774 Cost 1956890
Time 0.3865 Cost 1988101
Time 0.3875 Cost 1989519
Time 0.3580 Cost 1892899
Time 0.4110 Cost 2060584
Time 0.4191 Cost 2082672
Time 0.3650 Cost 1919236
Time 0.3595 Cost 1896706
Time 0.3751 Cost 1952774
Time 0.3801 Cost 1971152
Time 0.3669 Cost 1920148
Time 0.3753 Cost 1952885
Time 0.4177 Cost 2094970
Time 0.4076 Cost 2069566
Time 0.4231 Cost 2117136
Time 0.4228 Cost 2119779
Time 0.4301 Cost 2171847
Time 0.4313 Cost 2176394
Time 0.4311 Cost 2177572
Time 0.3598 Cost 1895766
Time 0.3626 Cost 1907659
Time 0.4405 Cost 2155147
Tot 21.0417
Cost 2155147 - Time 25.630
