n 1207945, m 2840208
Time 0.3842 Cost 6918337
Time 0.3772 Cost 6918104
Time 0.3813 Cost 6944163
Time 0.3799 Cost 6951641
Time 0.3604 Cost 6802547
Time 0.3258 Cost 5621893
Time 0.3374 Cost 5722394
Time 0.3379 Cost 5856895
Time 0.3761 Cost 6120525
Time 0.3762 Cost 6029956
Time 0.3719 Cost 6006749
Time 0.3574 Cost 5888607
Time 0.3742 Cost 6019579
Time 0.3534 Cost 5844656
Time 0.3519 Cost 5834685
Time 0.3496 Cost 5817179
Time 0.3578 Cost 5884261
Time 0.3579 Cost 5884660
Time 0.3619 Cost 5914219
Time 0.3611 Cost 5897743
Time 0.3573 Cost 5875835
Time 0.3694 Cost 5927011
Time 0.3623 Cost 5913188
Time 0.3485 Cost 5771547
Time 0.3589 Cost 5850397
Time 0.3687 Cost 5923844
Time 0.3677 Cost 5915249
Time 0.3591 Cost 5850830
Time 0.3576 Cost 5838503
Time 0.3594 Cost 5847683
Time 0.3585 Cost 5845906
Time 0.4126 Cost 6257435
Time 0.4108 Cost 6254476
Time 0.4096 Cost 6256532
Time 0.4368 Cost 6647109
Time 0.4369 Cost 6648765
Time 0.4367 Cost 6646411
Time 0.3657 Cost 5899205
Time 0.3671 Cost 5911117
Time 0.3665 Cost 5912837
Time 0.3398 Cost 5689989
Time 0.3395 Cost 5689124
Time 0.3443 Cost 6366861
Time 0.3470 Cost 6385428
Time 0.3467 Cost 6371001
Time 0.3838 Cost 6648011
Time 0.3282 Cost 6194813
Time 0.3281 Cost 6207125
Time 0.3284 Cost 6200465
Time 0.3289 Cost 6215776
Tot 18.2589
Cost 6215776 - Time 21.546
