n 1207945, m 2840208
Time 0.3505 Cost 6918337
Time 0.3455 Cost 6918104
Time 0.3455 Cost 6944163
Time 0.3459 Cost 6951641
Time 0.3462 Cost 6802547
Time 0.3523 Cost 5621893
Time 0.3514 Cost 5722394
Time 0.3510 Cost 5856895
Time 0.3511 Cost 6120525
Time 0.3512 Cost 6029956
Time 0.3515 Cost 6006749
Time 0.3508 Cost 5888607
Time 0.3514 Cost 6019579
Time 0.3515 Cost 5844656
Time 0.3510 Cost 5834685
Time 0.3516 Cost 5817179
Time 0.3514 Cost 5884261
Time 0.3515 Cost 5884660
Time 0.3510 Cost 5914219
Time 0.3514 Cost 5897743
Time 0.3512 Cost 5875835
Time 0.3509 Cost 5927011
Time 0.3517 Cost 5913188
Time 0.3512 Cost 5771547
Time 0.3510 Cost 5850397
Time 0.3515 Cost 5923844
Time 0.3517 Cost 5915249
Time 0.3513 Cost 5850830
Time 0.3509 Cost 5838503
Time 0.3519 Cost 5847683
Time 0.3514 Cost 5845906
Time 0.3511 Cost 6257435
Time 0.3510 Cost 6254476
Time 0.3610 Cost 6256532
Time 0.3519 Cost 6647109
Time 0.3513 Cost 6648765
Time 0.3514 Cost 6646411
Time 0.3510 Cost 5899205
Time 0.3511 Cost 5911117
Time 0.3512 Cost 5912837
Time 0.3512 Cost 5689989
Time 0.3512 Cost 5689124
Time 0.3475 Cost 6366861
Time 0.3476 Cost 6385428
Time 0.3475 Cost 6371001
Time 0.3478 Cost 6648011
Time 0.3550 Cost 6194813
Time 0.3482 Cost 6207125
Time 0.3473 Cost 6200465
Time 0.3481 Cost 6215776
Tot 17.5315
Cost 6215776 - Time 21.553
