n 1207945, m 2840208
Time 0.2730 Cost 6918337
Time 0.2648 Cost 6918104
Time 0.2675 Cost 6944163
Time 0.2671 Cost 6951641
Time 0.2529 Cost 6802547
Time 0.2281 Cost 5621893
Time 0.2369 Cost 5722394
Time 0.2368 Cost 5856895
Time 0.2629 Cost 6120525
Time 0.2632 Cost 6029956
Time 0.2600 Cost 6006749
Time 0.2503 Cost 5888607
Time 0.2614 Cost 6019579
Time 0.2472 Cost 5844656
Time 0.2464 Cost 5834685
Time 0.2446 Cost 5817179
Time 0.2504 Cost 5884261
Time 0.2508 Cost 5884660
Time 0.2529 Cost 5914219
Time 0.2704 Cost 5897743
Time 0.2642 Cost 5875835
Time 0.2559 Cost 5927011
Time 0.2567 Cost 5913188
Time 0.2441 Cost 5771547
Time 0.2510 Cost 5850397
Time 0.2579 Cost 5923844
Time 0.2569 Cost 5915249
Time 0.2515 Cost 5850830
Time 0.2563 Cost 5838503
Time 0.2684 Cost 5847683
Time 0.2536 Cost 5845906
Time 0.2868 Cost 6257435
Time 0.2897 Cost 6254476
Time 0.2869 Cost 6256532
Time 0.3056 Cost 6647109
Time 0.3055 Cost 6648765
Time 0.3051 Cost 6646411
Time 0.2556 Cost 5899205
Time 0.2569 Cost 5911117
Time 0.2567 Cost 5912837
Time 0.2379 Cost 5689989
Time 0.2379 Cost 5689124
Time 0.2414 Cost 6366861
Time 0.2436 Cost 6385428
Time 0.2498 Cost 6371001
Time 0.2692 Cost 6648011
Time 0.2309 Cost 6194813
Time 0.2305 Cost 6207125
Time 0.2312 Cost 6200465
Time 0.2312 Cost 6215776
Tot 12.8569
Cost 6215776 - Time 16.167
