n 1207945, m 2840208
Time 0.2805 Cost 6918337
Time 0.2647 Cost 6918104
Time 0.2678 Cost 6944163
Time 0.2666 Cost 6951641
Time 0.2521 Cost 6802547
Time 0.2289 Cost 5621893
Time 0.2374 Cost 5722394
Time 0.2373 Cost 5856895
Time 0.2643 Cost 6120525
Time 0.2644 Cost 6029956
Time 0.2611 Cost 6006749
Time 0.2509 Cost 5888607
Time 0.2630 Cost 6019579
Time 0.2480 Cost 5844656
Time 0.2472 Cost 5834685
Time 0.2455 Cost 5817179
Time 0.2515 Cost 5884261
Time 0.2521 Cost 5884660
Time 0.2546 Cost 5914219
Time 0.2535 Cost 5897743
Time 0.2514 Cost 5875835
Time 0.2564 Cost 5927011
Time 0.2536 Cost 5913188
Time 0.2441 Cost 5771547
Time 0.2518 Cost 5850397
Time 0.2587 Cost 5923844
Time 0.2578 Cost 5915249
Time 0.2517 Cost 5850830
Time 0.2505 Cost 5838503
Time 0.2515 Cost 5847683
Time 0.2511 Cost 5845906
Time 0.2873 Cost 6257435
Time 0.2869 Cost 6254476
Time 0.2871 Cost 6256532
Time 0.3062 Cost 6647109
Time 0.3062 Cost 6648765
Time 0.3062 Cost 6646411
Time 0.2565 Cost 5899205
Time 0.2569 Cost 5911117
Time 0.2568 Cost 5912837
Time 0.2384 Cost 5689989
Time 0.2384 Cost 5689124
Time 0.2404 Cost 6366861
Time 0.2426 Cost 6385428
Time 0.2423 Cost 6371001
Time 0.2681 Cost 6648011
Time 0.2290 Cost 6194813
Time 0.2351 Cost 6207125
Time 0.2314 Cost 6200465
Time 0.2306 Cost 6215776
Tot 12.8172
Cost 6215776 - Time 16.195
