n 1207945, m 2840208
Time 0.2725 Cost 6918337
Time 0.2645 Cost 6918104
Time 0.2646 Cost 6944163
Time 0.2625 Cost 6951641
Time 0.2486 Cost 6802547
Time 0.2244 Cost 5621893
Time 0.2326 Cost 5722394
Time 0.2327 Cost 5856895
Time 0.2587 Cost 6120525
Time 0.2585 Cost 6029956
Time 0.2567 Cost 6006749
Time 0.2458 Cost 5888607
Time 0.2574 Cost 6019579
Time 0.2429 Cost 5844656
Time 0.2423 Cost 5834685
Time 0.2404 Cost 5817179
Time 0.2463 Cost 5884261
Time 0.2460 Cost 5884660
Time 0.2513 Cost 5914219
Time 0.2514 Cost 5897743
Time 0.2462 Cost 5875835
Time 0.2512 Cost 5927011
Time 0.2492 Cost 5913188
Time 0.2397 Cost 5771547
Time 0.2469 Cost 5850397
Time 0.2533 Cost 5923844
Time 0.2535 Cost 5915249
Time 0.2472 Cost 5850830
Time 0.2460 Cost 5838503
Time 0.2469 Cost 5847683
Time 0.2467 Cost 5845906
Time 0.2813 Cost 6257435
Time 0.2811 Cost 6254476
Time 0.2810 Cost 6256532
Time 0.3001 Cost 6647109
Time 0.2998 Cost 6648765
Time 0.2997 Cost 6646411
Time 0.2515 Cost 5899205
Time 0.2523 Cost 5911117
Time 0.2520 Cost 5912837
Time 0.2339 Cost 5689989
Time 0.2338 Cost 5689124
Time 0.2376 Cost 6366861
Time 0.2390 Cost 6385428
Time 0.2390 Cost 6371001
Time 0.2639 Cost 6648011
Time 0.2262 Cost 6194813
Time 0.2263 Cost 6207125
Time 0.2321 Cost 6200465
Time 0.2274 Cost 6215776
Tot 12.5859
Cost 6215776 - Time 15.926
