n 264346, m 733846
Time 0.0258 Cost 495306
Time 0.0050 Cost 210348
Time 0.0104 Cost 303333
Time 0.0051 Cost 209354
Time 0.0033 Cost 140861
Time 0.0089 Cost 296380
Time 0.0162 Cost 397590
Time 0.0130 Cost 354128
Time 0.0134 Cost 363760
Time 0.0074 Cost 271854
Time 0.0056 Cost 228253
Time 0.0101 Cost 299420
Time 0.0114 Cost 319142
Time 0.0157 Cost 302287
Time 0.0183 Cost 344757
Time 0.0040 Cost 113811
Time 0.0041 Cost 114731
Time 0.0124 Cost 474356
Time 0.0124 Cost 475818
Time 0.0019 Cost 194972
Time 0.0104 Cost 426994
Time 0.0129 Cost 479883
Time 0.0113 Cost 318644
Time 0.0174 Cost 415206
Time 0.0361 Cost 424000
Time 0.0379 Cost 430717
Time 0.0273 Cost 493139
Time 0.0272 Cost 492673
Time 0.0216 Cost 475059
Time 0.0050 Cost 213208
Time 0.0028 Cost 106593
Time 0.0116 Cost 233719
Time 0.0179 Cost 300681
Time 0.0177 Cost 299046
Time 0.0020 Cost 78746
Time 0.0130 Cost 232202
Time 0.0041 Cost 122327
Time 0.0111 Cost 220981
Time 0.0108 Cost 216413
Time 0.0045 Cost 130400
Time 0.0088 Cost 176932
Time 0.0102 Cost 304487
Time 0.0105 Cost 195282
Time 0.0098 Cost 189345
Time 0.0110 Cost 198994
Time 0.0083 Cost 166612
Time 0.0092 Cost 173343
Time 0.0092 Cost 290067
Time 0.0106 Cost 209109
Time 0.0111 Cost 214221
Tot 0.6064
Cost 214221 - Time 1.413
