n 264346, m 733846
Time 0.0694 Cost 495306
Time 0.0678 Cost 210348
Time 0.0680 Cost 303333
Time 0.0683 Cost 209354
Time 0.0679 Cost 140861
Time 0.0677 Cost 296380
Time 0.0675 Cost 397590
Time 0.0674 Cost 354128
Time 0.0673 Cost 363760
Time 0.0673 Cost 271854
Time 0.0674 Cost 228253
Time 0.0678 Cost 299420
Time 0.0679 Cost 319142
Time 0.0678 Cost 302287
Time 0.0678 Cost 344757
Time 0.0676 Cost 113811
Time 0.0675 Cost 114731
Time 0.0668 Cost 474356
Time 0.0666 Cost 475818
Time 0.0667 Cost 194972
Time 0.0665 Cost 426994
Time 0.0664 Cost 479883
Time 0.0672 Cost 318644
Time 0.0672 Cost 415206
Time 0.0681 Cost 424000
Time 0.0681 Cost 430717
Time 0.0680 Cost 493139
Time 0.0680 Cost 492673
Time 0.0676 Cost 475059
Time 0.0675 Cost 213208
Time 0.0676 Cost 106593
Time 0.0676 Cost 233719
Time 0.0680 Cost 300681
Time 0.0678 Cost 299046
Time 0.0678 Cost 78746
Time 0.0680 Cost 232202
Time 0.0678 Cost 122327
Time 0.0677 Cost 220981
Time 0.0676 Cost 216413
Time 0.0677 Cost 130400
Time 0.0680 Cost 176932
Time 0.0676 Cost 304487
Time 0.0684 Cost 195282
Time 0.0684 Cost 189345
Time 0.0682 Cost 198994
Time 0.0680 Cost 166612
Time 0.0682 Cost 173343
Time 0.0680 Cost 290067
Time 0.0684 Cost 209109
Time 0.0685 Cost 214221
Tot 3.3874
Cost 214221 - Time 4.362
