n 264346, m 733846
Time 0.0191 Cost 495306
Time 0.0039 Cost 210348
Time 0.0078 Cost 303333
Time 0.0039 Cost 209354
Time 0.0029 Cost 140861
Time 0.0072 Cost 296380
Time 0.0117 Cost 397590
Time 0.0096 Cost 354128
Time 0.0097 Cost 363760
Time 0.0057 Cost 271854
Time 0.0043 Cost 228253
Time 0.0075 Cost 299420
Time 0.0084 Cost 319142
Time 0.0113 Cost 302287
Time 0.0131 Cost 344757
Time 0.0034 Cost 113811
Time 0.0035 Cost 114731
Time 0.0099 Cost 474356
Time 0.0096 Cost 475818
Time 0.0016 Cost 194972
Time 0.0079 Cost 426994
Time 0.0097 Cost 479883
Time 0.0082 Cost 318644
Time 0.0125 Cost 415206
Time 0.0253 Cost 424000
Time 0.0267 Cost 430717
Time 0.0194 Cost 493139
Time 0.0193 Cost 492673
Time 0.0154 Cost 475059
Time 0.0040 Cost 213208
Time 0.0023 Cost 106593
Time 0.0084 Cost 233719
Time 0.0128 Cost 300681
Time 0.0126 Cost 299046
Time 0.0017 Cost 78746
Time 0.0094 Cost 232202
Time 0.0030 Cost 122327
Time 0.0081 Cost 220981
Time 0.0079 Cost 216413
Time 0.0035 Cost 130400
Time 0.0065 Cost 176932
Time 0.0076 Cost 304487
Time 0.0082 Cost 195282
Time 0.0076 Cost 189345
Time 0.0082 Cost 198994
Time 0.0065 Cost 166612
Time 0.0070 Cost 173343
Time 0.0068 Cost 290067
Time 0.0077 Cost 209109
Time 0.0081 Cost 214221
Tot 0.4470
Cost 214221 - Time 1.266
