n 264346, m 733846
Time 0.0185 Cost 495306
Time 0.0037 Cost 210348
Time 0.0075 Cost 303333
Time 0.0038 Cost 209354
Time 0.0026 Cost 140861
Time 0.0064 Cost 296380
Time 0.0113 Cost 397590
Time 0.0091 Cost 354128
Time 0.0094 Cost 363760
Time 0.0054 Cost 271854
Time 0.0042 Cost 228253
Time 0.0072 Cost 299420
Time 0.0081 Cost 319142
Time 0.0108 Cost 302287
Time 0.0127 Cost 344757
Time 0.0030 Cost 113811
Time 0.0031 Cost 114731
Time 0.0089 Cost 474356
Time 0.0086 Cost 475818
Time 0.0018 Cost 194972
Time 0.0074 Cost 426994
Time 0.0090 Cost 479883
Time 0.0080 Cost 318644
Time 0.0121 Cost 415206
Time 0.0246 Cost 424000
Time 0.0268 Cost 430717
Time 0.0189 Cost 493139
Time 0.0187 Cost 492673
Time 0.0150 Cost 475059
Time 0.0038 Cost 213208
Time 0.0023 Cost 106593
Time 0.0081 Cost 233719
Time 0.0123 Cost 300681
Time 0.0122 Cost 299046
Time 0.0017 Cost 78746
Time 0.0091 Cost 232202
Time 0.0029 Cost 122327
Time 0.0079 Cost 220981
Time 0.0076 Cost 216413
Time 0.0034 Cost 130400
Time 0.0063 Cost 176932
Time 0.0073 Cost 304487
Time 0.0074 Cost 195282
Time 0.0070 Cost 189345
Time 0.0077 Cost 198994
Time 0.0060 Cost 166612
Time 0.0065 Cost 173343
Time 0.0067 Cost 290067
Time 0.0075 Cost 209109
Time 0.0078 Cost 214221
Tot 0.4290
Cost 214221 - Time 1.240
