n 6262104, m 15248146
Time 2.9430 Cost 13133160
Time 2.7297 Cost 11509226
Time 2.9054 Cost 14090406
Time 2.8403 Cost 13252626
Time 2.7068 Cost 11473385
Time 2.7184 Cost 11506644
Time 2.7287 Cost 11531587
Time 2.7261 Cost 11524243
Time 2.7162 Cost 11503080
Time 2.7275 Cost 11529085
Time 2.7213 Cost 11513328
Time 2.7168 Cost 11492200
Time 2.7139 Cost 11473055
Time 2.7231 Cost 11513970
Time 2.7462 Cost 11579670
Time 2.7467 Cost 11577021
Time 2.7309 Cost 11535555
Time 2.7290 Cost 11540491
Time 2.7143 Cost 11495451
Time 2.7218 Cost 11515888
Time 2.7389 Cost 11551485
Time 2.7197 Cost 11519941
Time 2.7286 Cost 11573403
Time 2.7248 Cost 11523597
Time 2.7308 Cost 11582597
Time 2.7297 Cost 11553132
Time 2.7304 Cost 11558922
Time 2.7192 Cost 11538563
Time 2.7264 Cost 11559698
Time 2.7232 Cost 11544260
Time 2.7296 Cost 11556663
Time 2.7337 Cost 11549612
Time 2.7305 Cost 11545160
Time 2.7301 Cost 11547581
Time 2.7375 Cost 11546875
Time 2.7261 Cost 11554905
Time 2.7277 Cost 11555346
Time 2.8363 Cost 11941920
Time 2.5804 Cost 11073405
Time 2.6175 Cost 11205340
Time 2.5930 Cost 11123835
Time 2.5560 Cost 10973868
Time 2.7320 Cost 11556860
Time 2.7319 Cost 11565758
Time 2.5226 Cost 10819539
Time 2.5252 Cost 10812198
Time 2.7389 Cost 11563473
Time 2.7324 Cost 11565964
Time 2.7619 Cost 11697359
Time 2.7553 Cost 11663498
Tot 136.0772
Cost 11663498 - Time 154.388
