n 6262104, m 15248146
Time 2.7223 Cost 13133160
Time 2.7870 Cost 11509226
Time 2.6574 Cost 14090406
Time 2.6953 Cost 13252626
Time 2.7870 Cost 11473385
Time 2.7881 Cost 11506644
Time 2.7873 Cost 11531587
Time 2.7881 Cost 11524243
Time 2.7873 Cost 11503080
Time 2.7870 Cost 11529085
Time 2.7947 Cost 11513328
Time 2.7863 Cost 11492200
Time 2.7855 Cost 11473055
Time 2.7849 Cost 11513970
Time 2.7884 Cost 11579670
Time 2.7861 Cost 11577021
Time 2.7864 Cost 11535555
Time 2.7847 Cost 11540491
Time 2.7858 Cost 11495451
Time 2.7834 Cost 11515888
Time 2.7873 Cost 11551485
Time 2.7955 Cost 11519941
Time 2.7850 Cost 11573403
Time 2.7858 Cost 11523597
Time 2.7869 Cost 11582597
Time 2.7828 Cost 11553132
Time 2.7828 Cost 11558922
Time 2.7850 Cost 11538563
Time 2.7861 Cost 11559698
Time 2.7883 Cost 11544260
Time 2.7858 Cost 11556663
Time 2.7823 Cost 11549612
Time 2.7936 Cost 11545160
Time 2.7820 Cost 11547581
Time 2.7837 Cost 11546875
Time 2.7809 Cost 11554905
Time 2.7849 Cost 11555346
Time 2.7853 Cost 11941920
Time 2.7846 Cost 11073405
Time 2.7897 Cost 11205340
Time 2.7838 Cost 11123835
Time 2.7844 Cost 10973868
Time 2.7831 Cost 11556860
Time 2.7967 Cost 11565758
Time 2.7894 Cost 10819539
Time 2.7844 Cost 10812198
Time 2.7822 Cost 11563473
Time 2.7810 Cost 11565964
Time 2.7813 Cost 11697359
Time 2.7835 Cost 11663498
Tot 139.0218
Cost 11663498 - Time 161.462
