n 6262104, m 15248146
Time 2.1354 Cost 13133160
Time 1.9764 Cost 11509226
Time 2.0899 Cost 14090406
Time 2.0524 Cost 13252626
Time 1.9647 Cost 11473385
Time 1.9742 Cost 11506644
Time 1.9976 Cost 11531587
Time 1.9825 Cost 11524243
Time 1.9754 Cost 11503080
Time 1.9825 Cost 11529085
Time 1.9825 Cost 11513328
Time 1.9743 Cost 11492200
Time 1.9668 Cost 11473055
Time 1.9834 Cost 11513970
Time 1.9932 Cost 11579670
Time 1.9914 Cost 11577021
Time 1.9806 Cost 11535555
Time 1.9804 Cost 11540491
Time 1.9672 Cost 11495451
Time 1.9752 Cost 11515888
Time 1.9811 Cost 11551485
Time 1.9770 Cost 11519941
Time 1.9823 Cost 11573403
Time 1.9734 Cost 11523597
Time 1.9839 Cost 11582597
Time 1.9819 Cost 11553132
Time 1.9846 Cost 11558922
Time 1.9746 Cost 11538563
Time 1.9818 Cost 11559698
Time 1.9947 Cost 11544260
Time 1.9947 Cost 11556663
Time 1.9805 Cost 11549612
Time 1.9801 Cost 11545160
Time 1.9800 Cost 11547581
Time 1.9807 Cost 11546875
Time 1.9789 Cost 11554905
Time 1.9779 Cost 11555346
Time 2.0561 Cost 11941920
Time 1.8691 Cost 11073405
Time 1.8959 Cost 11205340
Time 1.8789 Cost 11123835
Time 1.8535 Cost 10973868
Time 1.9818 Cost 11556860
Time 1.9806 Cost 11565758
Time 1.8424 Cost 10819539
Time 1.8315 Cost 10812198
Time 1.9809 Cost 11563473
Time 1.9822 Cost 11565964
Time 2.0327 Cost 11697359
Time 2.0294 Cost 11663498
Tot 98.8302
Cost 11663498 - Time 117.065
