n 6262104, m 15248146
Time 2.2693 Cost 13133160
Time 2.1153 Cost 11509226
Time 2.2172 Cost 14090406
Time 2.1823 Cost 13252626
Time 2.0928 Cost 11473385
Time 2.1036 Cost 11506644
Time 2.1095 Cost 11531587
Time 2.1087 Cost 11524243
Time 2.1042 Cost 11503080
Time 2.1113 Cost 11529085
Time 2.1038 Cost 11513328
Time 2.1000 Cost 11492200
Time 2.0923 Cost 11473055
Time 2.1053 Cost 11513970
Time 2.1233 Cost 11579670
Time 2.1284 Cost 11577021
Time 2.1130 Cost 11535555
Time 2.1098 Cost 11540491
Time 2.0968 Cost 11495451
Time 2.1071 Cost 11515888
Time 2.1134 Cost 11551485
Time 2.1045 Cost 11519941
Time 2.1141 Cost 11573403
Time 2.1037 Cost 11523597
Time 2.1151 Cost 11582597
Time 2.1155 Cost 11553132
Time 2.1157 Cost 11558922
Time 2.1071 Cost 11538563
Time 2.1088 Cost 11559698
Time 2.1069 Cost 11544260
Time 2.1161 Cost 11556663
Time 2.1129 Cost 11549612
Time 2.1107 Cost 11545160
Time 2.1121 Cost 11547581
Time 2.1137 Cost 11546875
Time 2.1100 Cost 11554905
Time 2.1099 Cost 11555346
Time 2.1935 Cost 11941920
Time 1.9921 Cost 11073405
Time 2.0212 Cost 11205340
Time 2.0020 Cost 11123835
Time 1.9743 Cost 10973868
Time 2.1120 Cost 11556860
Time 2.1110 Cost 11565758
Time 1.9566 Cost 10819539
Time 1.9543 Cost 10812198
Time 2.1135 Cost 11563473
Time 2.1125 Cost 11565964
Time 2.1363 Cost 11697359
Time 2.1294 Cost 11663498
Tot 105.1935
Cost 11663498 - Time 123.744
