n 6262104, m 15248146
Time 2.0836 Cost 13133160
Time 1.9347 Cost 11509226
Time 2.0448 Cost 14090406
Time 2.0080 Cost 13252626
Time 1.9236 Cost 11473385
Time 1.9315 Cost 11506644
Time 1.9388 Cost 11531587
Time 1.9381 Cost 11524243
Time 1.9322 Cost 11503080
Time 1.9396 Cost 11529085
Time 1.9357 Cost 11513328
Time 1.9344 Cost 11492200
Time 1.9210 Cost 11473055
Time 1.9356 Cost 11513970
Time 1.9594 Cost 11579670
Time 1.9497 Cost 11577021
Time 1.9399 Cost 11535555
Time 1.9387 Cost 11540491
Time 1.9258 Cost 11495451
Time 1.9451 Cost 11515888
Time 1.9507 Cost 11551485
Time 1.9447 Cost 11519941
Time 1.9403 Cost 11573403
Time 1.9340 Cost 11523597
Time 1.9447 Cost 11582597
Time 1.9440 Cost 11553132
Time 1.9439 Cost 11558922
Time 1.9351 Cost 11538563
Time 1.9393 Cost 11559698
Time 1.9369 Cost 11544260
Time 1.9451 Cost 11556663
Time 1.9412 Cost 11549612
Time 1.9389 Cost 11545160
Time 1.9386 Cost 11547581
Time 1.9394 Cost 11546875
Time 1.9378 Cost 11554905
Time 1.9369 Cost 11555346
Time 2.0131 Cost 11941920
Time 1.8305 Cost 11073405
Time 1.8562 Cost 11205340
Time 1.8390 Cost 11123835
Time 1.8139 Cost 10973868
Time 1.9393 Cost 11556860
Time 1.9396 Cost 11565758
Time 1.7896 Cost 10819539
Time 1.7930 Cost 10812198
Time 1.9462 Cost 11563473
Time 1.9407 Cost 11565964
Time 1.9723 Cost 11697359
Time 1.9615 Cost 11663498
Tot 96.6872
Cost 11663498 - Time 114.876
