n 10000, m 100000
Time 0.3666 Cost 11
Time 0.3718 Cost 10
Time 1.3014 Cost 16
Time 1.1254 Cost 14
Time 1.9431 Cost 16
Time 1.7950 Cost 15
Time 1.7221 Cost 18
Time 1.0860 Cost 14
Time 1.6795 Cost 14
Time 1.7621 Cost 14
Time 1.4146 Cost 13
Time 0.9826 Cost 12
Time 1.0532 Cost 14
Time 0.2038 Cost 11
Time 1.9289 Cost 18
Time 0.5218 Cost 11
Time 1.3014 Cost 15
Time 1.0137 Cost 22
Time 1.8767 Cost 18
Time 0.6944 Cost 12
Time 0.6596 Cost 13
Time 1.7264 Cost 19
Time 1.6328 Cost 15
Time 1.7625 Cost 17
Time 0.6964 Cost 11
Time 1.8783 Cost 17
Time 1.0915 Cost 13
Time 1.3206 Cost 13
Time 1.9689 Cost 19
Time 1.9225 Cost 15
Time 1.0693 Cost 13
Time 1.8685 Cost 15
Time 1.9548 Cost 20
Time 1.4391 Cost 16
Time 1.4990 Cost 15
Time 1.1029 Cost 13
Time 0.2459 Cost 10
Time 0.8355 Cost 12
Time 1.9372 Cost 17
Time 1.9435 Cost 15
Time 1.5095 Cost 14
Time 0.7606 Cost 12
Time 0.2594 Cost 11
Time 1.9398 Cost 20
Time 1.7856 Cost 16
Time 1.2493 Cost 16
Time 0.7019 Cost 11
Time 1.5276 Cost 13
Time 0.4282 Cost 10
Time 0.7467 Cost 11
Tot 64.4898
Cost 11 - Time 64.636
