n 10000, m 10000000
Time 0.1217 Cost 3
Time 0.0637 Cost 2
Time 0.1086 Cost 3
Time 0.1223 Cost 3
Time 0.0125 Cost 2
Time 0.0571 Cost 2
Time 0.1077 Cost 3
Time 0.0902 Cost 2
Time 0.0754 Cost 2
Time 0.0072 Cost 2
Time 0.1220 Cost 3
Time 0.0705 Cost 2
Time 0.1123 Cost 3
Time 0.1091 Cost 3
Time 0.0068 Cost 2
Time 0.0306 Cost 2
Time 0.0905 Cost 2
Time 0.0217 Cost 2
Time 0.1048 Cost 3
Time 0.0519 Cost 2
Time 0.1193 Cost 3
Time 0.0726 Cost 2
Time 0.0952 Cost 3
Time 0.0305 Cost 2
Time 0.0977 Cost 3
Time 0.0531 Cost 2
Time 0.0762 Cost 2
Time 0.0278 Cost 2
Time 0.0201 Cost 2
Time 0.1172 Cost 3
Time 0.1152 Cost 3
Time 0.0948 Cost 3
Time 0.1155 Cost 3
Time 0.0962 Cost 3
Time 0.0109 Cost 2
Time 0.0224 Cost 2
Time 0.0198 Cost 2
Time 0.0167 Cost 2
Time 0.1119 Cost 3
Time 0.0225 Cost 2
Time 0.1004 Cost 3
Time 0.1131 Cost 3
Time 0.0706 Cost 2
Time 0.0299 Cost 2
Time 0.0647 Cost 2
Time 0.1095 Cost 3
Time 0.0390 Cost 2
Time 0.1037 Cost 3
Time 0.0215 Cost 2
Time 0.0491 Cost 2
Tot 3.5246
Cost 2 - Time 11.279
