n 10000, m 10000000
Time 0.5278 Cost 3
Time 0.5283 Cost 2
Time 0.5281 Cost 3
Time 0.5272 Cost 3
Time 0.5269 Cost 2
Time 0.5272 Cost 2
Time 0.5270 Cost 3
Time 0.5273 Cost 2
Time 0.5272 Cost 2
Time 0.5275 Cost 2
Time 0.5271 Cost 3
Time 0.5379 Cost 2
Time 0.5278 Cost 3
Time 0.5270 Cost 3
Time 0.5271 Cost 2
Time 0.5271 Cost 2
Time 0.5270 Cost 2
Time 0.5271 Cost 2
Time 0.5272 Cost 3
Time 0.5280 Cost 2
Time 0.5281 Cost 3
Time 0.5281 Cost 2
Time 0.5283 Cost 3
Time 0.5279 Cost 2
Time 0.5278 Cost 3
Time 0.5279 Cost 2
Time 0.5280 Cost 2
Time 0.5283 Cost 2
Time 0.5277 Cost 2
Time 0.5268 Cost 3
Time 0.5268 Cost 3
Time 0.5271 Cost 3
Time 0.5270 Cost 3
Time 0.5271 Cost 3
Time 0.5270 Cost 2
Time 0.5270 Cost 2
Time 0.5268 Cost 2
Time 0.5271 Cost 2
Time 0.5327 Cost 3
Time 0.5275 Cost 2
Time 0.5269 Cost 3
Time 0.5270 Cost 3
Time 0.5269 Cost 2
Time 0.5271 Cost 2
Time 0.5270 Cost 2
Time 0.5270 Cost 3
Time 0.5269 Cost 2
Time 0.5269 Cost 3
Time 0.5268 Cost 2
Time 0.5271 Cost 2
Tot 26.3830
Cost 2 - Time 39.904
